clave,nombre,profesor,horario
MAT-001,Materia académica 1,,
MAT-002,Materia académica 2,,
MAT-003,Materia académica 3,,
MAT-004,Materia académica 4,,
MAT-005,Materia académica 5,,
MAT-006,Materia académica 6,,
MAT-007,Materia académica 7,,
MAT-008,Materia académica 8,,
MAT-009,Materia académica 9,,
MAT-010,Materia académica 10,,
MAT-011,Materia académica 11,,
MAT-012,Materia académica 12,,
MAT-013,Materia académica 13,,
MAT-014,Materia académica 14,,
MAT-015,Materia académica 15,,
MAT-016,Materia académica 16,,
MAT-017,Materia académica 17,,
MAT-018,Materia académica 18,,
MAT-019,Materia académica 19,,
MAT-020,Materia académica 20,,
MAT-021,Materia académica 21,,
MAT-022,Materia académica 22,,
MAT-023,Materia académica 23,,
MAT-024,Materia académica 24,,
MAT-025,Materia académica 25,,
MAT-026,Materia académica 26,,
MAT-027,Materia académica 27,,
MAT-028,Materia académica 28,,
MAT-029,Materia académica 29,,
MAT-030,Materia académica 30,,
MAT-031,Materia académica 31,,
MAT-032,Materia académica 32,,
MAT-033,Materia académica 33,,
MAT-034,Materia académica 34,,
MAT-035,Materia académica 35,,
MAT-036,Materia académica 36,,
MAT-037,Materia académica 37,,
MAT-038,Materia académica 38,,
MAT-039,Materia académica 39,,
MAT-040,Materia académica 40,,
MAT-041,Materia académica 41,,
MAT-042,Materia académica 42,,
MAT-043,Materia académica 43,,
MAT-044,Materia académica 44,,
MAT-045,Materia académica 45,,
MAT-046,Materia académica 46,,
MAT-047,Materia académica 47,,
MAT-048,Materia académica 48,,
MAT-049,Materia académica 49,,
MAT-050,Materia académica 50,,
MAT-051,Materia académica 51,,
MAT-052,Materia académica 52,,
MAT-053,Materia académica 53,,
MAT-054,Materia académica 54,,
MAT-055,Materia académica 55,,
MAT-056,Materia académica 56,,
MAT-057,Materia académica 57,,
MAT-058,Materia académica 58,,
MAT-059,Materia académica 59,,
MAT-060,Materia académica 60,,
MAT-061,Materia académica 61,,
MAT-062,Materia académica 62,,
MAT-063,Materia académica 63,,
MAT-064,Materia académica 64,,
MAT-065,Materia académica 65,,
MAT-066,Materia académica 66,,
MAT-067,Materia académica 67,,
MAT-068,Materia académica 68,,
MAT-069,Materia académica 69,,
MAT-070,Materia académica 70,,
MAT-071,Materia académica 71,,
MAT-072,Materia académica 72,,
MAT-073,Materia académica 73,,
MAT-074,Materia académica 74,,
MAT-075,Materia académica 75,,
MAT-076,Materia académica 76,,
MAT-077,Materia académica 77,,
MAT-078,Materia académica 78,,
MAT-079,Materia académica 79,,
MAT-080,Materia académica 80,,
MAT-081,Materia académica 81,,
MAT-082,Materia académica 82,,
MAT-083,Materia académica 83,,
MAT-084,Materia académica 84,,
MAT-085,Materia académica 85,,
MAT-086,Materia académica 86,,
MAT-087,Materia académica 87,,
MAT-088,Materia académica 88,,
MAT-089,Materia académica 89,,
MAT-090,Materia académica 90,,
MAT-091,Materia académica 91,,
MAT-092,Materia académica 92,,
MAT-093,Materia académica 93,,
MAT-094,Materia académica 94,,
MAT-095,Materia académica 95,,
MAT-096,Materia académica 96,,
MAT-097,Materia académica 97,,
MAT-098,Materia académica 98,,
MAT-099,Materia académica 99,,
MAT-100,Materia académica 100,,
